Zona,Precios,Direcciones,Dimensiones
Centro,"13,200,000",LERDO,420 m² tot.3 rec.3 baños3 estac.
Centro,"6,300,000",Amplia y Hermosa  Casa en Condominio en Venta en El Contadero,170 m² tot.5 rec.2 baños1 estac.
Centro,"12,100,000",ENCINOS,760 m² tot.4 rec.5 baños5 estac.
Centro,"8,990,000",gutember 178,138 m² tot.4 rec.4 baños3 estac.
Centro,"37,800,000",Nunkini S/N,834 m² tot.3 rec.3 baños5 estac.
Centro,"20,000,000",Bosques de Reforma 733,194 m² tot.12 rec.1 baño10 estac.
Centro,"8,500,000","Ajusco 25  , Florida , 01030 Álvaro Obregón, Ciudad de México, México",506 m² tot.4 rec.4 baños2 estac.
Centro,"3,000,000",Sierra Paracaima 100,700 m² tot.3 rec.5 baños8 estac.
Centro,"30,000,000",Lomas de la Palma,343 m² tot.4 rec.3 baños5 estac.
Centro,"56,000,000",Crater,1077 m² tot.12 rec.8 baños6 estac.
Centro,"30,000,000",Sierra Mazapil al 100,1134 m² tot.4 rec.4 baños4 estac.
Centro,"24,000,000",Antonio Noemí  27,750 m² tot.3 rec.4 baños5 estac.
Centro,"2,675,000",Rtno. Cerro del Agua 25,825 m² tot.3 rec.3 baños6 estac.
Centro,"5,794,819",Ventura G. Tena S/N,218 m² tot.2 rec.2 baños2 estac.
Centro,"18,000,000",Colima 237,357 m² tot.3 rec.6 baños4 estac.
Centro,"5,800,000","Casa en Venta de 4 Recamaras en Pedregal, Ciudad de Mexico.",192 m² tot.2 rec.1 baño2 estac.
Centro,"17,000,000",Nieve,124 m² tot.4 rec.2 baños2 estac.
Centro,"23,000,000",Santiago S/N,1176 m² tot.4 rec.6 baños2 estac.
Centro,"18,000,000",Nubes ,600 m² tot.4 rec.3 baños5 estac.
Centro,"8,400,000",Bosque de Icacos,280 m² tot.3 rec.2 baños3 estac.
Centro,"23,490,000",eugenio sue 333,791 m² tot.4 rec.3 baños4 estac.
Centro,"16,000,000",GINEBRA,507 m² tot.3 rec.4 baños4 estac.
Centro,"62,500,000",PICACHO,375 m² tot.7 rec.5 baños5 estac.
Centro,"15,950,000",Olivar de los padres,341 m² tot.3 rec.3 baños2 estac.
Centro,"55,000,000","Circo Ptolomeo Mz 209 Lt 15  , Ampliación Selene , 13430 Tláhuac, Ciudad de México, México",1387 m² tot.4 rec.4 baños6 estac.
Centro,"11,350,000",Bosque de Amates,225 m² tot.3 rec.3 baños3 estac.
Centro,"2,863,000",Bosque DE Tecas 30,243 m² tot.4 rec.2 baños3 estac.
Centro,"39,890,000",Av. Ing Eduardo Molina 3716,600 m² tot.3 rec.4 baños4 estac.
Centro,"70,000,000",Corbeta 10,705 m² tot.4 rec.4 baños4 estac.
Centro,"5,400,000",Agua,149 m² tot.5 rec.4 baños3 estac.
Centro,"7,800,000",Gutemberg ,198 m² tot.4 rec.3 baños3 estac.
Centro,"58,990,000",AV. DE LAS TORRES 446,2723 m² tot.5 rec.7 baños7 estac.
Centro,"20,000,000","Casa en San Jerónimo Aculco, La Magdalena Contreras",194 m² tot.1 baño7 estac.
Centro,"10,500,000",Uvas,195 m² tot.3 rec.2 baños2 estac.
Centro,"7,980,000",Pampas 47,229 m² tot.3 rec.3 baños2 estac.
Centro,"12,000,000",LADERA,204 m² tot.4 rec.2 baños2 estac.
Centro,"4,250,000",Artes,200 m² tot.7 rec.1 baño
Centro,"38,000,000",Laja,882 m² tot.6 rec.6 baños3 estac.
Centro,"16,270,000",Nicolás San Juan,635 m² tot.4 rec.4 baños4 estac.
Centro,"51,500,000",Tesoreros S/N,1195 m² tot.4 rec.4 baños6 estac.
Centro,"22,200,000",Las Fuentes,242 m² tot.5 rec.2 baños2 estac.
Centro,"12,500,000",Rio Ganges 61,372 m² tot.5 rec.4 baños6 estac.
Centro,"10,300,000",Calzada de las Águilas,369 m² tot.6 rec.4 baños2 estac.
